delivery_id,city,customer_id,scheduled_datetime,delivered_datetime,status,delay_minutes,carrier,distance_km,weight_kg
D00125,Pretoria,18041,2025-05-22 10:00:00,2025-05-22 11:26:00,Delivered,0,SwiftX,650,36.7
D00126,Johannesburg,16136,2025-06-22 12:00:00,2025-06-23 04:05:00,Delivered,0,SwiftX,926,20.5
D00127,Pretoria,14225,2025-06-29 11:00:00,2025-06-30 02:02:00,Delivered,24,RoadRunner,1399,12.6
D00128,Cape Town,17679,2025-06-05 06:00:00,2025-06-05 10:06:00,Delivered,0,MegaHaul,627,47.7
D00129,Johannesburg,15408,2025-06-27 09:00:00,2025-06-28 00:35:00,Delivered,125,MegaHaul,1272,3.0
D00130,Cape Town,16122,2025-06-03 14:00:00,2025-06-03 17:33:00,Delivered,0,SwiftX,1245,35.4
D00131,Durban,17970,2025-05-03 07:00:00,2025-05-04 04:52:00,Delivered,0,SwiftX,1463,14.0
D00132,Durban,19828,2025-06-13 16:00:00,2025-06-14 06:53:00,Delivered,17,SkyDrop,16,27.3
D00133,Gqeberha,12708,2025-05-17 12:00:00,2025-05-17 19:13:00,Delivered,0,MegaHaul,1228,12.9
D00134,Cape Town,13993,2025-06-10 15:00:00,2025-06-10 17:30:00,Delivered,44,SkyDrop,1044,46.3
D00135,Johannesburg,13157,2025-06-27 12:00:00,2025-06-27 18:34:00,Delivered,0,SwiftX,141,10.0
D00136,Johannesburg,11500,2025-05-18 09:00:00,2025-05-19 03:21:00,Delivered,107,SkyDrop,1187,18.6
D00137,Durban,10130,2025-06-06 16:00:00,2025-06-07 09:08:00,Delivered,33,SwiftX,987,3.7
D00138,Cape Town,15468,2025-05-22 14:00:00,2025-05-23 04:01:00,Delivered,60,SwiftX,1478,1.7
D00139,Gqeberha,14346,2025-06-24 07:00:00,2025-06-25 01:54:00,Delivered,12,RoadRunner,33,38.5
D00140,Cape Town,10271,2025-06-25 17:00:00,2025-06-26 15:11:00,Delivered,9,SwiftX,344,37.0
D00141,Johannesburg,11165,2025-06-25 07:00:00,2025-06-25 13:23:00,Delivered,0,SkyDrop,297,2.6
D00142,Johannesburg,12632,2025-05-15 06:00:00,2025-05-16 05:47:00,Delivered,0,RoadRunner,191,47.5
D00143,Pretoria,14805,2025-06-08 13:00:00,2025-06-09 12:22:00,Delivered,0,SkyDrop,15,45.2
D00144,Bloemfontein,15690,2025-05-08 09:00:00,2025-05-09 08:13:00,Delivered,0,SkyDrop,1394,11.9
D00145,Johannesburg,10936,2025-06-18 15:00:00,2025-06-18 20:18:00,Delivered,0,RoadRunner,58,48.5
D00146,Gqeberha,11913,2025-06-18 16:00:00,2025-06-18 23:58:00,Delivered,0,SkyDrop,66,49.8
D00147,Gqeberha,14876,2025-06-25 14:00:00,2025-06-25 20:28:00,Delivered,0,SkyDrop,1385,5.0
D00148,Gqeberha,19179,2025-05-29 14:00:00,2025-05-30 11:18:00,Delivered,0,SkyDrop,1360,2.3
D00149,Cape Town,19610,2025-06-28 07:00:00,2025-06-29 00:44:00,Delivered,21,SwiftX,41,11.4
D00150,Pretoria,15068,2025-05-17 07:00:00,2025-05-18 01:43:00,Delivered,0,SwiftX,322,29.8
D00151,Gqeberha,16183,2025-05-27 06:00:00,2025-05-28 04:25:00,Delivered,0,MegaHaul,340,33.1
D00152,Gqeberha,11704,2025-05-13 16:00:00,2025-05-14 02:16:00,Delivered,0,SkyDrop,1198,5.7
D00153,Pretoria,16150,2025-05-05 16:00:00,2025-05-06 02:16:00,Delivered,0,MegaHaul,1059,41.4
D00154,Johannesburg,13741,2025-06-08 07:00:00,2025-06-08 13:55:00,Delivered,0,SkyDrop,593,25.6
D00155,Johannesburg,19882,2025-06-18 14:00:00,2025-06-18 15:27:00,Delivered,11,MegaHaul,471,38.2
D00156,Durban,11435,2025-06-29 10:00:00,2025-06-30 03:28:00,Delivered,0,MegaHaul,920,34.6
D00157,Johannesburg,11040,2025-05-12 11:00:00,2025-05-12 18:40:00,Delivered,0,SkyDrop,709,3.4
D00158,Johannesburg,12353,2025-05-14 17:00:00,2025-05-15 07:09:00,Delivered,27,RoadRunner,385,19.5
D00159,Johannesburg,17813,2025-06-16 08:00:00,2025-06-16 16:38:00,Delivered,0,SwiftX,1458,23.7
D00160,Bloemfontein,16540,2025-06-10 12:00:00,2025-06-11 10:34:00,Delivered,0,SkyDrop,161,15.3
D00161,Gqeberha,13155,2025-05-22 16:00:00,2025-05-23 07:08:00,Delivered,0,SkyDrop,1468,21.9
D00162,Bloemfontein,14179,2025-05-06 08:00:00,2025-05-07 07:17:00,Delivered,57,MegaHaul,1191,2.0
D00163,Durban,15390,2025-06-13 16:00:00,2025-06-14 11:57:00,Delivered,54,MegaHaul,1337,8.1
D00164,Cape Town,16342,2025-05-03 17:00:00,2025-05-04 05:32:00,Delivered,0,RoadRunner,382,31.0
D00165,Pretoria,11875,2025-06-05 14:00:00,2025-06-06 07:56:00,Delivered,0,SwiftX,390,40.0
D00166,Cape Town,14167,2025-05-21 07:00:00,2025-05-22 07:29:00,Delivered,66,SwiftX,611,36.2
D00167,Durban,12043,2025-06-07 14:00:00,2025-06-08 04:07:00,Delivered,9,SwiftX,893,28.8
D00168,Johannesburg,12720,2025-05-10 13:00:00,2025-05-10 18:04:00,Delivered,3,RoadRunner,6,26.9
D00169,Gqeberha,16732,2025-06-21 15:00:00,2025-06-22 08:13:00,Delivered,56,RoadRunner,110,8.8
D00170,Johannesburg,18508,2025-05-03 16:00:00,2025-05-03 17:08:00,Delivered,0,SkyDrop,1387,30.8
D00171,Cape Town,15383,2025-05-08 07:00:00,2025-05-09 06:21:00,Delivered,0,MegaHaul,115,40.8
D00172,Johannesburg,10207,2025-05-04 11:00:00,2025-05-05 10:17:00,Delivered,0,MegaHaul,899,32.4
D00173,Durban,14109,2025-05-11 07:00:00,2025-05-12 00:53:00,Delivered,0,RoadRunner,913,24.2
D00174,Durban,13638,2025-06-15 09:00:00,2025-06-15 22:06:00,Delivered,42,SkyDrop,313,33.1
D00175,Cape Town,17057,2025-05-19 11:00:00,2025-05-19 21:08:00,Delivered,0,RoadRunner,877,24.9
D00176,Johannesburg,16236,2025-06-23 06:00:00,2025-06-23 22:37:00,Delivered,35,SkyDrop,961,42.4
D00177,Durban,19579,2025-05-20 17:00:00,2025-05-20 21:16:00,Delivered,45,MegaHaul,951,29.1
D00178,Cape Town,15631,2025-06-05 07:00:00,2025-06-05 13:34:00,Delivered,0,SwiftX,299,14.2
D00179,Durban,14732,2025-05-12 08:00:00,2025-05-13 06:00:00,Delivered,0,RoadRunner,798,35.9
D00180,Gqeberha,19131,2025-05-14 07:00:00,2025-05-14 14:58:00,Delivered,44,SkyDrop,1009,22.1
D00181,Johannesburg,11646,2025-05-14 13:00:00,2025-05-14 17:50:00,Delivered,0,SwiftX,895,16.0
D00182,Cape Town,19444,2025-05-05 06:00:00,2025-05-05 15:11:00,Delivered,32,SkyDrop,305,12.2
D00183,Johannesburg,10629,2025-05-14 15:00:00,2025-05-15 06:03:00,Delivered,0,RoadRunner,1285,22.7
D00184,Durban,16656,2025-06-26 11:00:00,2025-06-27 10:40:00,Delivered,53,MegaHaul,169,39.2
D00185,Pretoria,12203,2025-06-16 11:00:00,2025-06-16 23:27:00,Delivered,68,MegaHaul,338,3.3
D00186,Durban,10281,2025-05-29 06:00:00,2025-05-29 09:25:00,Delivered,27,MegaHaul,1040,7.8
D00187,Bloemfontein,15370,2025-06-12 07:00:00,2025-06-12 11:36:00,Delivered,0,MegaHaul,1213,29.2
D00188,Johannesburg,13249,2025-05-23 17:00:00,2025-05-24 15:57:00,Delivered,0,SkyDrop,388,7.1
D00189,Johannesburg,10891,2025-06-24 13:00:00,2025-06-25 12:44:00,Delivered,0,RoadRunner,521,48.2
D00190,Johannesburg,15238,2025-05-26 16:00:00,2025-05-26 20:29:00,Delivered,96,SwiftX,307,28.7
D00191,Johannesburg,14440,2025-06-15 09:00:00,2025-06-15 23:20:00,Delivered,0,MegaHaul,1315,33.1
D00192,Cape Town,18125,2025-05-28 07:00:00,2025-05-29 00:49:00,Delivered,0,SwiftX,579,48.9
D00193,Cape Town,16924,2025-05-09 10:00:00,2025-05-09 21:20:00,Delivered,32,MegaHaul,1130,16.7
D00194,Durban,13553,2025-05-18 14:00:00,2025-05-19 12:42:00,Delivered,0,RoadRunner,1359,19.1
D00195,Cape Town,19816,2025-05-21 06:00:00,2025-05-22 01:19:00,Delivered,0,SkyDrop,147,34.9
D00196,Cape Town,11440,2025-06-18 06:00:00,2025-06-18 12:16:00,Delivered,26,SwiftX,978,31.2
D00197,Cape Town,16228,2025-05-26 13:00:00,2025-05-27 03:35:00,Delivered,0,SkyDrop,633,40.8
D00198,Johannesburg,14399,2025-06-06 17:00:00,2025-06-07 07:02:00,Delivered,0,SwiftX,347,40.7
D00199,Pretoria,16570,2025-06-14 10:00:00,2025-06-14 18:11:00,Delivered,25,SkyDrop,55,3.5
D00200,Bloemfontein,14882,2025-06-03 09:00:00,2025-06-04 03:22:00,Delivered,35,RoadRunner,498,15.7
D00201,Pretoria,17311,2025-06-11 09:00:00,2025-06-11 21:09:00,Delivered,0,SkyDrop,593,21.0
D00202,Johannesburg,11286,2025-05-31 17:00:00,2025-06-01 11:42:00,Delivered,0,SkyDrop,449,13.2
D00203,Bloemfontein,11798,2025-06-23 06:00:00,2025-06-24 03:27:00,Delivered,32,MegaHaul,1390,6.1
D00204,Johannesburg,17285,2025-05-21 11:00:00,2025-05-22 09:22:00,Delivered,39,RoadRunner,382,18.4
D00205,Gqeberha,14815,2025-06-18 15:00:00,2025-06-19 06:18:00,Delivered,0,MegaHaul,54,36.7
D00206,Gqeberha,13273,2025-05-25 07:00:00,2025-05-25 23:14:00,Delivered,0,SkyDrop,997,21.5
D00207,Johannesburg,10482,2025-06-13 07:00:00,2025-06-13 19:12:00,Delivered,0,SwiftX,666,1.7
D00208,Durban,17622,2025-06-01 16:00:00,2025-06-02 03:49:00,Delivered,0,MegaHaul,925,49.4
D00209,Johannesburg,19769,2025-06-23 12:00:00,2025-06-23 20:38:00,Delivered,0,SwiftX,704,41.0
D00210,Durban,19382,2025-06-14 09:00:00,2025-06-14 22:23:00,Delivered,0,RoadRunner,77,16.5
D00211,Johannesburg,10707,2025-05-13 06:00:00,2025-05-13 21:13:00,Delivered,26,SwiftX,521,4.0
D00212,Durban,17397,2025-05-08 07:00:00,2025-05-08 09:06:00,Delivered,0,MegaHaul,1158,49.7
D00213,Durban,13874,2025-06-03 12:00:00,2025-06-03 14:55:00,Delivered,0,SwiftX,1470,47.9
D00214,Johannesburg,13374,2025-06-26 12:00:00,2025-06-26 17:36:00,Delivered,69,SkyDrop,1040,17.7
D00215,Durban,11679,2025-05-30 12:00:00,2025-05-30 18:47:00,Delivered,0,MegaHaul,634,49.6
D00216,Bloemfontein,12368,2025-06-26 10:00:00,2025-06-27 05:27:00,Delivered,0,MegaHaul,982,39.5
D00217,Gqeberha,19715,2025-06-03 09:00:00,2025-06-03 18:07:00,Delivered,7,SwiftX,753,18.3
D00218,Johannesburg,12496,2025-05-11 08:00:00,2025-05-12 05:40:00,Delivered,37,SkyDrop,147,49.6
D00219,Gqeberha,14107,2025-06-16 06:00:00,2025-06-16 07:41:00,Delivered,0,RoadRunner,1457,19.3
D00220,Gqeberha,17629,2025-05-06 08:00:00,2025-05-07 02:23:00,Delivered,13,RoadRunner,582,8.1
D00221,Johannesburg,15907,2025-05-18 15:00:00,2025-05-19 05:12:00,Delivered,0,RoadRunner,1317,46.2
D00222,Cape Town,14917,2025-06-15 09:00:00,2025-06-16 00:58:00,Delivered,0,RoadRunner,906,7.7
D00223,Cape Town,12964,2025-06-03 09:00:00,2025-06-03 19:25:00,Delivered,29,MegaHaul,547,25.6
D00224,Cape Town,12494,2025-05-06 16:00:00,2025-05-06 21:13:00,Delivered,0,MegaHaul,667,8.0
D00225,Johannesburg,16488,2025-05-02 16:00:00,2025-05-03 04:29:00,Delivered,0,SkyDrop,1084,15.2
D00226,Cape Town,15448,2025-05-28 08:00:00,2025-05-28 13:22:00,Delivered,0,SwiftX,768,31.1
D00227,Durban,16928,2025-06-06 12:00:00,2025-06-07 03:37:00,Delivered,58,MegaHaul,1091,39.7
D00228,Cape Town,12044,2025-06-04 12:00:00,2025-06-04 16:11:00,Delivered,37,MegaHaul,459,36.8
D00229,Pretoria,14481,2025-05-27 10:00:00,2025-05-27 15:05:00,Delivered,0,RoadRunner,665,38.1
D00230,Johannesburg,19092,2025-05-01 10:00:00,2025-05-01 15:01:00,Delivered,0,SkyDrop,342,3.7
D00231,Johannesburg,14592,2025-06-29 16:00:00,2025-06-30 04:42:00,Delivered,0,SwiftX,514,7.9
D00232,Cape Town,10593,2025-06-09 08:00:00,2025-06-09 18:13:00,Delivered,0,MegaHaul,401,7.1
D00233,Johannesburg,10392,2025-06-10 06:00:00,2025-06-11 02:14:00,Delivered,1,MegaHaul,33,14.3
D00234,Bloemfontein,18123,2025-06-09 10:00:00,2025-06-10 08:47:00,Delivered,0,MegaHaul,806,19.6
D00235,Cape Town,10078,2025-05-17 17:00:00,2025-05-18 08:15:00,Delivered,0,SwiftX,585,37.0
D00236,Durban,19223,2025-05-13 13:00:00,2025-05-13 15:26:00,Delivered,0,SwiftX,1463,4.0
D00237,Johannesburg,10147,2025-05-21 13:00:00,2025-05-21 20:05:00,Delivered,0,SwiftX,440,38.8
D00238,Durban,18754,2025-06-12 15:00:00,2025-06-13 13:24:00,Delivered,0,MegaHaul,372,48.4
D00239,Cape Town,18551,2025-05-25 14:00:00,2025-05-26 07:01:00,Delivered,0,MegaHaul,967,6.5
D00240,Durban,19832,2025-06-10 14:00:00,2025-06-10 21:31:00,Delivered,14,RoadRunner,771,48.4
D00241,Pretoria,15978,2025-06-09 07:00:00,2025-06-09 14:34:00,Delivered,21,MegaHaul,1316,33.0
D00242,Johannesburg,19127,2025-05-18 12:00:00,2025-05-18 22:00:00,Delivered,53,SkyDrop,128,19.7
D00243,Johannesburg,12461,2025-05-20 10:00:00,2025-05-21 07:27:00,Delivered,32,MegaHaul,126,40.9
D00244,Gqeberha,14875,2025-06-10 07:00:00,2025-06-10 10:28:00,Delivered,0,SwiftX,665,48.9
D00245,Pretoria,10646,2025-05-23 17:00:00,2025-05-23 22:14:00,Delivered,52,RoadRunner,666,49.2
D00246,Bloemfontein,13537,2025-05-02 10:00:00,2025-05-02 19:01:00,Delivered,19,SwiftX,1435,42.1
D00247,Pretoria,11724,2025-06-02 13:00:00,2025-06-02 23:15:00,Delivered,41,SkyDrop,23,8.0
D00248,Johannesburg,19496,2025-06-06 13:00:00,2025-06-06 20:01:00,Delivered,0,MegaHaul,133,37.2
D00249,Gqeberha,15343,2025-06-11 07:00:00,2025-06-11 15:52:00,Delivered,0,MegaHaul,306,31.0
D00250,Johannesburg,12159,2025-05-13 14:00:00,2025-05-13 23:48:00,Delivered,29,SwiftX,1040,37.4
